member,Fy,span_ft,w_asd_plf,footnote
800S200-97,50,5,5142.0,e
800S200-97,50,6,3571.0,e
800S200-97,50,8,1913.0,e
800S200-97,50,10,980.0,e
800S200-97,50,12,567.0,
800S250-97,50,3,13603.0,e
800S250-97,50,4,7652.0,e
800S250-97,50,5,4897.0,e
800S250-97,50,6,3401.0,e
800S250-97,50,8,1913.0,e
800S250-97,50,10,1118.0,e
800S250-97,50,12,647.0,e
800S162-118,50,3,15551.0,e
800S162-118,50,4,8748.0,e
800S162-118,50,5,5598.0,e
800S162-118,50,6,3888.0,e
800S162-118,50,8,1965.0,e
800S162-118,50,10,1006.0,e
800S162-118,50,12,582.0,
800S200-118,50,3,17437.0,e
800S200-118,50,4,9808.0,e
800S200-118,50,5,6277.0,e
800S200-118,50,6,4359.0,e
800S200-118,50,8,2274.0,e
800S200-118,50,10,1164.0,e
800S200-118,50,12,674.0,
800S250-118,50,3,16794.0,e
800S250-118,50,4,9447.0,e
800S250-118,50,5,6046.0,e
800S250-118,50,6,4199.0,e
800S250-118,50,8,2362.0,e
800S250-118,50,10,1333.0,e
800S250-118,50,12,771.0,
1000S162-43,33,3,1115.0,e
1000S162-43,33,4,836.0,e
1000S162-43,33,5,669.0,e
1000S162-43,33,6,557.0,e
1000S162-43,33,8,418.0,e
1000S162-43,33,10,280.0,e
1000S162-43,33,12,194.0,e
1000S200-43,33,3,1115.0,e
1000S200-43,33,4,836.0,e
1000S200-43,33,5,669.0,e
1000S200-43,33,6,557.0,e
1000S200-43,33,8,418.0,e
1000S200-43,33,10,317.0,e
1000S200-43,33,12,220.0,e
1000S250-43,33,3,1115.0,e
1000S250-43,33,4,836.0,e
1000S250-43,33,5,669.0,e
1000S250-43,33,6,557.0,e
1000S250-43,33,8,418.0,e
1000S250-43,33,10,334.0,e
1000S250-43,33,12,241.0,e
1000S162-54,33,3,2213.0,e
1000S162-54,33,4,1660.0,e
1000S162-54,33,5,1328.0,e
1000S162-54,33,6,1107.0,e
1000S162-54,33,8,697.0,e
1000S162-54,33,10,446.0,e
1000S162-54,33,12,310.0,e
1000S162-54,50,3,2213.0,e
